"Отметка времени","Укажите, пожалуйста, Ваш пол:","Сколько вам полных лет?","Укажите, пожалуйста, уровень Вашего образования","В каком районе вы живете?","В данный момент:","Катаетесь ли вы на велосипеде в Москве?","Давно ли вы умеете кататься на велосипеде? ","Пользуетесь ли вы услугами московского велопроката  (https://velobike.ru)","Пользуетесь ли вы услугами других велопрокатов Москвы?","С какой целью вы катаетесь на велосипеде?","Совмещаете ли вы велосипед с другими видами транспорта при планировании своей поездки?","Имеете ли вы личный велосипед? ","Есть ли рядом с вашим домом станция московского велопроката (в окрестности 500 метров) ","Есть ли у вас в распоряжении личный автомобиль?","На сколько далеко от вас расположено ваше место работы (учебы)","Как вы считаете, насколько опасна поездка на велосипеде по городу?","Инфраструктура вдоль моей дороги на работу/учебу удобна для передвижения на велосипеде","Я мог бы безопасно припарковать свой велосипед у места работы/учебы","Я мог бы безопасно припарковать свой велосипед у дома","На сколько для вас важен велосипед в городе?","Насколько положительно вы воспринимаете велосипедистов","Что для вас велосипед?"
"2019/05/27 8:59:03 PM GMT+3","Женский","42","Высшее","Раменки","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Нет","Да","Да, есть","Да, есть","Более 10 километров","8","2","5","5","3","7","Спортивный досуг"
"2019/05/27 9:03:54 PM GMT+3","Женский","39","Высшее","Раменки","Я работаю","Да","Более 10 лет","Да, пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Да","Да","Да, есть","Да, есть","От 2 до 5 километров","10","1","2","3","2","4","Разнообразие при отдыхе (пешком, ролики, велосипед)"
"2019/05/27 9:08:13 PM GMT+3","Женский","19","Неоконченное высшее","Гагаринский","Я учусь","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Поездка на работу (и с работы)","Да","Да","Да, есть","Нет","Менее 2 километров","2","10","9","3","8","10","Экологичный транспорт для перемещений"
"2019/05/27 9:10:05 PM GMT+3","Женский","25","Высшее","Раменки","Я работаю","Нет","","","","","","Нет","Нет","Нет","Более 10 километров","7","1","3","4","1","1",""
"2019/05/27 9:11:27 PM GMT+3","Женский","35","Высшее","Фили-Давыдково ","Я работаю","Нет","","","","","","Да","Нет","Да, есть","Менее 2 километров","7","2","5","4","3","8","Развлечение "
"2019/05/27 9:11:47 PM GMT+3","Женский","38","Высшее","Хорошево-Мневники ","В декрете","Нет","","","","","","Да","Нет","Нет","От 2 до 5 километров","10","1","1","1","7","7","Спорт"
"2019/05/27 9:12:21 PM GMT+3","Женский","27","Высшее","Нагатино-Садовники","Я работаю","Да","Более 10 лет","Да, пользуюсь","Нет, не пользуюсь","Способ проведения досуга;Поручения и личные встречи;Между барами","Да","Нет","Нет","Да, есть","От 2 до 5 километров","4","4","10","2","4","8","Fun"
"2019/05/27 9:13:00 PM GMT+3","Женский","49","Высшее","Хорошево-Мневники ","Я работаю","Нет","","","","","","Нет","Нет","Да, есть","Более 10 километров","10","10","10","10","6","6","Что то из детства"
"2019/05/27 9:13:38 PM GMT+3","Женский","46","Высшее","Сокольники","Я работаю","Нет","","","","","","Да","Да, есть","Да, есть","От 5 до 10 километров","8","3","1","1","1","2","Средство передвижения на даче. Изредка"
"2019/05/27 9:14:28 PM GMT+3","Женский","42","Высшее","Фили","Я безработный","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Нет","Да","Нет","Нет","Менее 2 километров","8","1","1","1","6","10","Транспорт"
"2019/05/27 9:16:54 PM GMT+3","Женский","49","Высшее, ученая степень","Гагаринский","Я работаю","Нет","","","","","","Да","Да, есть","Да, есть","Более 10 километров","4","2","2","1","6","10","велосипед"
"2019/05/27 9:16:58 PM GMT+3","Женский","50","Высшее","Академический","Я работаю","Нет","","","","","","Нет","Нет","Да, есть","Более 10 километров","9","5","1","1","1","1","Помеха"
"2019/05/27 9:17:28 PM GMT+3","Женский","41","Среднее специальное","Сокольники","Я работаю","Нет","","","","","","Нет","Да, есть","Нет","От 2 до 5 километров","10","1","5","1","5","5","Развлечение"
"2019/05/27 9:19:08 PM GMT+3","Женский","57","Высшее","хорошево-мневники","Я безработный","Нет","","","","","","Да","Да, есть","Нет","Более 10 километров","10","1","1","7","7","8","отдых"
"2019/05/27 9:19:14 PM GMT+3","Женский","42","Высшее","Раменки","Я работаю","Нет","","","","","","Да","Нет","Да, есть","От 2 до 5 километров","9","2","2","2","2","9","Средство передвижения с физической нагрузкой"
"2019/05/27 9:19:17 PM GMT+3","Женский","37","Высшее","ЮЗАО","Я безработный","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Нет","Да","Да, есть","Да, есть","Менее 2 километров","5","5","1","1","5","10","Отдых"
"2019/05/27 9:22:03 PM GMT+3","Мужской","69","Высшее, ученая степень","Гагаринский","Пенсионер","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Да","Да","Да, есть","Нет","Менее 2 километров","3","3","1","3","7","7","Спортивная прогулка"
